Congress,Name,State or Territory,Party,"House/Senate
Service"
116th (2019-2021),"HASTINGS, Alcee Lamar",FL,Democrat,House
116th (2019-2021),"HAYES, Jahana",CT,Democrat,House
116th (2019-2021),"HORSFORD, Steven",NV,Democrat,House
116th (2019-2021),"HURD, William Ballard",TX,Republican,House
116th (2019-2021),"JACKSON LEE, Sheila",TX,Democrat,House
116th (2019-2021),"JEFFRIES, Hakeem",NY,Democrat,House
116th (2019-2021),"JOHNSON, Eddie Bernice",TX,Democrat,House
116th (2019-2021),"JOHNSON, Hank",GA,Democrat,House
116th (2019-2021),"KELLY, Robin L.",IL,Democrat,House
116th (2019-2021),"LAWRENCE, Brenda L.",MI,Democrat,House
116th (2019-2021),"LAWSON, Alfred, Jr.",FL,Democrat,House
116th (2019-2021),"LEE, Barbara",CA,Democrat,House
116th (2019-2021),"LEWIS, John R. 75",GA,Democrat,House
116th (2019-2021),"MCBATH, Lucy",GA,Democrat,House
116th (2019-2021),"MCEACHIN, Aston Donald",VA,Democrat,House
116th (2019-2021),"MEEKS, Gregory W.",NY,Democrat,House
116th (2019-2021),"MFUME, Kweisi 76",MD,Democrat,House
116th (2019-2021),"MOORE, Gwendolynne S. (Gwen)",WI,Democrat,House
116th (2019-2021),"NEGUSE, Joseph",CO,Democrat,House
116th (2019-2021),"NORTON, Eleanor Holmes",DC,Democrat,House
116th (2019-2021),"OMAR, Ilhan",MN,Democrat,House
116th (2019-2021),"PAYNE, Donald, Jr.",NJ,Democrat,House
116th (2019-2021),"PLASKETT, Stacey E.",VI,Democrat,House
116th (2019-2021),"PRESSLEY, Ayanna",MA,Democrat,House
116th (2019-2021),"RICHMOND, Cedric",LA,Democrat,House
116th (2019-2021),"RUSH, Bobby L.",IL,Democrat,House
116th (2019-2021),"SCOTT, David",GA,Democrat,House
116th (2019-2021),"SCOTT, Robert C.",VA,Democrat,House
116th (2019-2021),"SCOTT, Tim",SC,Republican,Senate
116th (2019-2021),"SEWELL, Terri",AL,Democrat,House
116th (2019-2021),"THOMPSON, Bennie",MS,Democrat,House
116th (2019-2021),"UNDERWOOD, Lauren",IL,Democrat,House
116th (2019-2021),"VEASEY, Marc",TX,Democrat,House
116th (2019-2021),"WATERS, Maxine",CA,Democrat,House
116th (2019-2021),"WATSON COLEMAN, Bonnie",NJ,Democrat,House
116th (2019-2021),"WILSON, Frederica",FL,Democrat,House
117th (2021-2023),"ADAMS, Alma",NC,Democrat,House
117th (2021-2023),"ALLRED, Colin",TX,Democrat,House
117th (2021-2023),"BASS, Karen",CA,Democrat,House
117th (2021-2023),"BEATTY, Joyce",OH,Democrat,House
117th (2021-2023),"BISHOP, Sanford Dixon, Jr.",GA,Democrat,House
117th (2021-2023),"BLUNT ROCHESTER, Lisa",DE,Democrat,House
117th (2021-2023),"BOOKER, Cory Anthony",NJ,Democrat,Senate
117th (2021-2023),"BOWMAN, Jamaal",NY,Democrat,House
117th (2021-2023),"BROWN, Anthony Gregory",MD,Democrat,House
117th (2021-2023),"BROWN, Shontel M. 77",OH,Democrat,House
117th (2021-2023),"BUSH, Cori",MO,Democrat,House
117th (2021-2023),"BUTTERFIELD, George Kenneth (G.K.), Jr. 78",NC,Democrat,House
117th (2021-2023),"CARSON, André",IN,Democrat,House
117th (2021-2023),"CARTER, Troy 79",LA,Democrat,House
117th (2021-2023),"CHERFILUS-MCCORMICK, Sheila 80",FL,Democrat,House
117th (2021-2023),"CLARKE, Yvette Diane",NY,Democrat,House
117th (2021-2023),"CLEAVER, Emanuel, II",MO,Democrat,House
117th (2021-2023),"CLYBURN, James Enos",SC,Democrat,House
117th (2021-2023),"DAVIS, Danny K.",IL,Democrat,House
117th (2021-2023),"DELGADO, Antonio 81",NY,Democrat,House
117th (2021-2023),"DEMINGS, Valdez",FL,Democrat,House
117th (2021-2023),"DONALDS, Byron",FL,Republican,House
117th (2021-2023),"ESPAILLAT, Adriano J.",NY,Democrat,House
117th (2021-2023),"EVANS, Dwight",PA,Democrat,House
117th (2021-2023),"FUDGE, Marcia L. 82",OH,Democrat,House
117th (2021-2023),"GREEN, Al",TX,Democrat,House
117th (2021-2023),"HARRIS, Kamala Devi 83",CA,Democrat,Senate
117th (2021-2023),"HASTINGS, Alcee Lamar 84",FL,Democrat,House
117th (2021-2023),"HAYES, Jahana",CT,Democrat,House
117th (2021-2023),"HORSFORD, Steven",NV,Democrat,House
117th (2021-2023),"JACKSON LEE, Sheila",TX,Democrat,House
117th (2021-2023),"JEFFRIES, Hakeem",NY,Democrat,House
117th (2021-2023),"JOHNSON, Eddie Bernice",TX,Democrat,House
117th (2021-2023),"JOHNSON, Hank",GA,Democrat,House
117th (2021-2023),"JONES, Mondaire",NY,Democrat,House
117th (2021-2023),"KELLY, Robin L.",IL,Democrat,House
117th (2021-2023),"LAWRENCE, Brenda L.",MI,Democrat,House
117th (2021-2023),"LAWSON, Alfred, Jr.",FL,Democrat,House
117th (2021-2023),"LEE, Barbara",CA,Democrat,House
117th (2021-2023),"MCBATH, Lucy",GA,Democrat,House
117th (2021-2023),"MCEACHIN, Aston Donald 85",VA,Democrat,House
117th (2021-2023),"MEEKS, Gregory W.",NY,Democrat,House
117th (2021-2023),"MFUME, Kweisi",MD,Democrat,House
117th (2021-2023),"MOORE, Gwendolynne S. (Gwen)",WI,Democrat,House
117th (2021-2023),"NEGUSE, Joseph",CO,Democrat,House
117th (2021-2023),"NORTON, Eleanor Holmes",DC,Democrat,House
117th (2021-2023),"OMAR, Ilhan",MN,Democrat,House
117th (2021-2023),"OWENS, Burgess",UT,Republican,House
117th (2021-2023),"PAYNE, Donald, Jr.",NJ,Democrat,House
117th (2021-2023),"PLASKETT, Stacey E.",VI,Democrat,House
117th (2021-2023),"PRESSLEY, Ayanna",MA,Democrat,House
117th (2021-2023),"RICHMOND, Cedric 86",LA,Democrat,House
117th (2021-2023),"RUSH, Bobby L.",IL,Democrat,House
117th (2021-2023),"SCOTT, David",GA,Democrat,House
117th (2021-2023),"SCOTT, Robert C.",VA,Democrat,House
117th (2021-2023),"SCOTT, Tim",SC,Republican,Senate
117th (2021-2023),"SEWELL, Terri",AL,Democrat,House
117th (2021-2023),"STRICKLAND, Marilyn",WA,Democrat,House
117th (2021-2023),"THOMPSON, Bennie",MS,Democrat,House
117th (2021-2023),"TORRES, Ritchie",NY,Democrat,House
117th (2021-2023),"UNDERWOOD, Lauren",IL,Democrat,House
117th (2021-2023),"VEASEY, Marc",TX,Democrat,House
117th (2021-2023),"WARNOCK, Raphael Gamaliel 87",GA,Democrat,Senate
117th (2021-2023),"WATERS, Maxine",CA,Democrat,House
117th (2021-2023),"WATSON COLEMAN, Bonnie",NJ,Democrat,House
117th (2021-2023),"WILLIAMS, Nikema",GA,Democrat,House
117th (2021-2023),"WILSON, Frederica",FL,Democrat,House
118th (2023-2025),"ADAMS, Alma",NC,Democrat,House
118th (2023-2025),"ALLRED, Colin",TX,Democrat,House
118th (2023-2025),"AMO, Gabe 88",RI,Democrat,House
118th (2023-2025),"BEATTY, Joyce",OH,Democrat,House
118th (2023-2025),"BISHOP, Sanford Dixon, Jr.",GA,Democrat,House
118th (2023-2025),"BLUNT ROCHESTER, Lisa",DE,Democrat,House
118th (2023-2025),"BOOKER, Cory Anthony",NJ,Democrat,Senate
118th (2023-2025),"BOWMAN, Jamaal",NY,Democrat,House
118th (2023-2025),"BROWN, Shontel M.",OH,Democrat,House
118th (2023-2025),"BUSH, Cori",MO,Democrat,House
118th (2023-2025),"BUTLER, Laphonza Romanique 89",CA,Democrat,Senate
118th (2023-2025),"CARSON, André",IN,Democrat,House
118th (2023-2025),"CARTER, Troy",LA,Democrat,House
118th (2023-2025),"CHERFILUS-MCCORMICK, Sheila",FL,Democrat,House
118th (2023-2025),"CLARKE, Yvette Diane",NY,Democrat,House
118th (2023-2025),"CLEAVER, Emanuel, II",MO,Democrat,House
118th (2023-2025),"CLYBURN, James Enos",SC,Democrat,House
118th (2023-2025),"CROCKETT, Jasmine",TX,Democrat,House
118th (2023-2025),"DAVIS, Danny K.",IL,Democrat,House
118th (2023-2025),"DAVIS, Don",NC,Democrat,House
118th (2023-2025),"DONALDS, Byron",FL,Republican,House
118th (2023-2025),"ESPAILLAT, Adriano J.",NY,Democrat,House
118th (2023-2025),"EVANS, Dwight",PA,Democrat,House
118th (2023-2025),"FOUSHEE, Valerie",NC,Democrat,House
118th (2023-2025),"FROST, Maxwell",FL,Democrat,House
118th (2023-2025),"GREEN, Al",TX,Democrat,House
118th (2023-2025),"HAYES, Jahana",CT,Democrat,House
118th (2023-2025),"HORSFORD, Steven",NV,Democrat,House
118th (2023-2025),"HUNT, Wesley",TX,Republican,House
118th (2023-2025),"IVEY, Glenn",MD,Democrat,House
118th (2023-2025),"JACKSON, Jonathan",IL,Democrat,House
118th (2023-2025),"JACKSON LEE, Sheila 90",TX,Democrat,House
118th (2023-2025),"JAMES, John",MI,Republican,House
118th (2023-2025),"JEFFRIES, Hakeem",NY,Democrat,House
118th (2023-2025),"JOHNSON, Hank",GA,Democrat,House
118th (2023-2025),"KAMLAGER-DOVE, Sydney",CA,Democrat,House
118th (2023-2025),"KELLY, Robin L.",IL,Democrat,House
118th (2023-2025),"LEE, Barbara",CA,Democrat,House
118th (2023-2025),"LEE, Summer",PA,Democrat,House
118th (2023-2025),"LEE CARTER, Erica 91",TX,Democrat,House
118th (2023-2025),"MCBATH, Lucy",GA,Democrat,House
118th (2023-2025),"MCCLELLAN, Jennifer 92",VA,Democrat,House
118th (2023-2025),"MCIVER, LaMonica 93",NJ,Democrat,House
118th (2023-2025),"MEEKS, Gregory W.",NY,Democrat,House
118th (2023-2025),"MFUME, Kweisi",MD,Democrat,House
118th (2023-2025),"MOORE, Gwendolynne S. (Gwen)",WI,Democrat,House
118th (2023-2025),"NEGUSE, Joseph",CO,Democrat,House
118th (2023-2025),"NORTON, Eleanor Holmes",DC,Democrat,House
118th (2023-2025),"OMAR, Ilhan",MN,Democrat,House
118th (2023-2025),"OWENS, Burgess",UT,Republican,House
118th (2023-2025),"PAYNE, Donald, Jr. 94",NJ,Democrat,House
118th (2023-2025),"PLASKETT, Stacey E.",VI,Democrat,House
118th (2023-2025),"PRESSLEY, Ayanna",MA,Democrat,House
118th (2023-2025),"SCOTT, David",GA,Democrat,House
118th (2023-2025),"SCOTT, Robert C.",VA,Democrat,House
118th (2023-2025),"SCOTT, Tim",SC,Republican,Senate
118th (2023-2025),"SEWELL, Terri",AL,Democrat,House
118th (2023-2025),"STRICKLAND, Marilyn",WA,Democrat,House
118th (2023-2025),"SYKES, Emilia Strong",OH,Democrat,House
118th (2023-2025),"THOMPSON, Bennie",MS,Democrat,House
118th (2023-2025),"TORRES, Ritchie",NY,Democrat,House
118th (2023-2025),"UNDERWOOD, Lauren",IL,Democrat,House
118th (2023-2025),"VEASEY, Marc",TX,Democrat,House
118th (2023-2025),"WARNOCK, Raphael Gamaliel",GA,Democrat,Senate
118th (2023-2025),"WATERS, Maxine",CA,Democrat,House
118th (2023-2025),"WATSON COLEMAN, Bonnie",NJ,Democrat,House
118th (2023-2025),"WILLIAMS, Nikema",GA,Democrat,House
118th (2023-2025),"WILSON, Frederica",FL,Democrat,House
119th (2025-2027),"ADAMS, Alma",NC,Democrat,House
119th (2025-2027),"ALSOBROOKS, Angela Deneece",MD,Democrat,Senate
119th (2025-2027),"AMO, Gabe",RI,Democrat,House
119th (2025-2027),"BEATTY, Joyce",OH,Democrat,House
119th (2025-2027),"BELL, Wesley",MO,Democrat,House
119th (2025-2027),"BISHOP, Sanford Dixon, Jr.",GA,Democrat,House
119th (2025-2027),"BLUNT ROCHESTER, Lisa",DE,Democrat,Senate
119th (2025-2027),"BOOKER, Cory Anthony",NJ,Democrat,Senate
119th (2025-2027),"BROWN, Shontel M.",OH,Democrat,House
119th (2025-2027),"BYNUM, Janelle S.",OR,Democrat,House
119th (2025-2027),"CARSON, André",IN,Democrat,House
119th (2025-2027),"CARTER, Troy",LA,Democrat,House
119th (2025-2027),"CHERFILUS-MCCORMICK, Sheila 95",FL,Democrat,House
119th (2025-2027),"CLARKE, Yvette Diane",NY,Democrat,House
119th (2025-2027),"CLEAVER, Emanuel, II",MO,Democrat,House
119th (2025-2027),"CLYBURN, James Enos",SC,Democrat,House
119th (2025-2027),"CONAWAY, Herbert C., Jr.",NJ,Democrat,House
119th (2025-2027),"CROCKETT, Jasmine",TX,Democrat,House
119th (2025-2027),"DAVIS, Danny K.",IL,Democrat,House
119th (2025-2027),"DAVIS, Don",NC,Democrat,House
119th (2025-2027),"DONALDS, Byron",FL,Republican,House
119th (2025-2027),"ESPAILLAT, Adriano J.",NY,Democrat,House
119th (2025-2027),"EVANS, Dwight",PA,Democrat,House
119th (2025-2027),"FIELDS, Cleo",LA,Democrat,House
119th (2025-2027),"FIGURES, Shomari C.",AL,Democrat,House
119th (2025-2027),"FOUSHEE, Valerie",NC,Democrat,House
119th (2025-2027),"FROST, Maxwell",FL,Democrat,House
119th (2025-2027),"GREEN, Al",TX,Democrat,House
119th (2025-2027),"HAYES, Jahana",CT,Democrat,House
119th (2025-2027),"HORSFORD, Steven",NV,Democrat,House
119th (2025-2027),"HUNT, Wesley",TX,Republican,House
119th (2025-2027),"IVEY, Glenn",MD,Democrat,House
119th (2025-2027),"JACKSON, Jonathan",IL,Democrat,House
119th (2025-2027),"JAMES, John",MI,Republican,House
119th (2025-2027),"JEFFRIES, Hakeem",NY,Democrat,House
119th (2025-2027),"JOHNSON, Hank",GA,Democrat,House
119th (2025-2027),"KAMLAGER-DOVE, Sydney",CA,Democrat,House
119th (2025-2027),"KELLY, Robin L.",IL,Democrat,House
119th (2025-2027),"LEE, Summer",PA,Democrat,House
119th (2025-2027),"MCBATH, Lucy",GA,Democrat,House
119th (2025-2027),"MCCLELLAN, Jennifer",VA,Democrat,House
119th (2025-2027),"MCIVER, LaMonica",NJ,Democrat,House
119th (2025-2027),"MEEKS, Gregory W.",NY,Democrat,House
119th (2025-2027),"MEJIA, Analilia 96",NJ,Democrat,House
119th (2025-2027),"MENEFEE, Christian D. 97",TX,Democrat,House
119th (2025-2027),"MFUME, Kweisi",MD,Democrat,House
119th (2025-2027),"MOORE, Gwendolynne S. (Gwen)",WI,Democrat,House
119th (2025-2027),"NEGUSE, Joseph",CO,Democrat,House
119th (2025-2027),"NORTON, Eleanor Holmes",DC,Democrat,House
119th (2025-2027),"OMAR, Ilhan",MN,Democrat,House
119th (2025-2027),"OWENS, Burgess",UT,Republican,House
119th (2025-2027),"PLASKETT, Stacey E.",VI,Democrat,House
119th (2025-2027),"PRESSLEY, Ayanna",MA,Democrat,House
119th (2025-2027),"SCOTT, David 98",GA,Democrat,House
119th (2025-2027),"SCOTT, Robert C.",VA,Democrat,House
119th (2025-2027),"SCOTT, Tim",SC,Republican,Senate
119th (2025-2027),"SEWELL, Terri",AL,Democrat,House
119th (2025-2027),"SIMON, Lateefah",CA,Democrat,House
119th (2025-2027),"STRICKLAND, Marilyn",WA,Democrat,House
119th (2025-2027),"SYKES, Emilia Strong",OH,Democrat,House
119th (2025-2027),"THOMPSON, Bennie",MS,Democrat,House
119th (2025-2027),"TORRES, Ritchie",NY,Democrat,House
119th (2025-2027),"TURNER, Sylvester 99",TX,Democrat,House
119th (2025-2027),"UNDERWOOD, Lauren",IL,Democrat,House
119th (2025-2027),"VEASEY, Marc",TX,Democrat,House
119th (2025-2027),"WARNOCK, Raphael Gamaliel",GA,Democrat,Senate
119th (2025-2027),"WATERS, Maxine",CA,Democrat,House
119th (2025-2027),"WATSON COLEMAN, Bonnie",NJ,Democrat,House
119th (2025-2027),"WILLIAMS, Nikema",GA,Democrat,House
119th (2025-2027),"WILSON, Frederica",FL,Democrat,House
